objective,GEOID,assigned_site_id,assigned_site_name,distance_m
min_total_distance,420031702004,3,South Side Senior Center,1325.6648993492988
min_total_distance,420034690003,11,Brookline Community Center,4866.965878699266
min_total_distance,420032904004,71,CARRICK LIBRARY,1915.5449409182693
min_total_distance,420030901002,79,LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED,3061.1605831074394
min_total_distance,420034721001,11,Brookline Community Center,1262.2547236566563
min_total_distance,420035623001,0,Greenfield Senior Center,3764.88274709213
min_total_distance,420035631001,4,Mount Washington Senior Center,3813.2053231956943
min_total_distance,420031517005,0,Greenfield Senior Center,529.4589618971697
min_total_distance,420034885001,0,Greenfield Senior Center,9046.673036925624
min_total_distance,420035630003,2,Sheraden Senior Center,1785.3404694069511
min_total_distance,420033001005,71,CARRICK LIBRARY,1645.7271967580937
min_total_distance,420035624003,4,Mount Washington Senior Center,1585.1924773288988
min_total_distance,420035631002,2,Sheraden Senior Center,3546.1292792561335
min_total_distance,420034722002,11,Brookline Community Center,2140.1467188322954
min_total_distance,420031915002,4,Mount Washington Senior Center,1070.9004099862618
min_total_distance,420031914002,4,Mount Washington Senior Center,872.6558403445173
min_total_distance,420039809001,67,Fowler Pool Buiding,3321.1310142562415
min_total_distance,420031911001,4,Mount Washington Senior Center,1523.0487709513761
min_total_distance,420034782003,71,CARRICK LIBRARY,2377.2066059241747
min_total_distance,420032509001,67,Fowler Pool Buiding,1608.7047120707243
min_total_distance,420032614004,67,Fowler Pool Buiding,839.3081665290974
min_total_distance,420035625003,2,Sheraden Senior Center,526.150353478007
min_total_distance,420034270002,79,LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED,4272.065784140664
min_total_distance,420035628001,2,Sheraden Senior Center,5020.444336977867
min_total_distance,420034643002,2,Sheraden Senior Center,2071.6046746558322
min_total_distance,420031414005,0,Greenfield Senior Center,1366.3644828193826
min_total_distance,420032614001,67,Fowler Pool Buiding,601.4643228372868
min_total_distance,420035628002,2,Sheraden Senior Center,4486.597413717921
min_total_distance,420031306001,1,Homewood Senior Center,1330.6742865083677
min_total_distance,420035623003,0,Greenfield Senior Center,2932.4471745238334
min_total_distance,420031018002,16,Morningside Community Center,1879.1206939444783
min_total_distance,420030802002,79,LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED,1470.9726586136169
min_total_distance,420031414004,0,Greenfield Senior Center,2725.702852824343
min_total_distance,420032023004,11,Brookline Community Center,2790.755379945337
min_total_distance,420032708003,67,Fowler Pool Buiding,3594.7567679818753
min_total_distance,420034600021,2,Sheraden Senior Center,7022.209477145336
min_total_distance,420032620003,67,Fowler Pool Buiding,2416.5569504093346
min_total_distance,420034250004,16,Morningside Community Center,3309.8626364724473
min_total_distance,420034592011,2,Sheraden Senior Center,6332.046320290167
min_total_distance,420034281001,67,Fowler Pool Buiding,4220.397515127837
min_total_distance,420034281002,67,Fowler Pool Buiding,3743.5022624277476
min_total_distance,420034282002,67,Fowler Pool Buiding,3207.625209466115
min_total_distance,420034297002,67,Fowler Pool Buiding,4671.375258256672
min_total_distance,420035626001,2,Sheraden Senior Center,3257.5940662966264
min_total_distance,420035624002,4,Mount Washington Senior Center,2179.0478638429445
min_total_distance,420035619002,1,Homewood Senior Center,2022.7788134081086
min_total_distance,420039818001,1,Homewood Senior Center,3216.4862344793614
min_total_distance,420035625001,2,Sheraden Senior Center,997.9139866098261
min_total_distance,420035620002,79,LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED,518.6088760064513
min_total_distance,420031516002,0,Greenfield Senior Center,985.3938870489756
min_total_distance,420034705011,11,Brookline Community Center,4059.597687948804
min_total_distance,420031106002,16,Morningside Community Center,1915.4876015362377
min_total_distance,420035154013,1,Homewood Senior Center,3511.1068521758016
min_total_distance,420035620003,79,LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED,1101.4010593597213
min_total_distance,420030902003,79,LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED,1988.4737372390293
min_total_distance,420031011003,16,Morningside Community Center,3396.686747784767
min_total_distance,420035604002,1,Homewood Senior Center,2286.1694585829773
min_total_distance,420034311002,67,Fowler Pool Buiding,5113.286743292989
min_total_distance,420030409003,79,LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED,3067.8056592830553
min_total_distance,420030201005,4,Mount Washington Senior Center,3393.2212323512645
min_total_distance,420030603001,79,LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED,2211.105096287271
min_total_distance,420031608001,3,South Side Senior Center,820.8855196866812
min_total_distance,420032904003,71,CARRICK LIBRARY,2226.397560157674
min_total_distance,420035154011,1,Homewood Senior Center,4322.277197698043
min_total_distance,420035154012,1,Homewood Senior Center,4609.424692407484
min_total_distance,420035605001,1,Homewood Senior Center,2470.144909102406
min_total_distance,420035614002,1,Homewood Senior Center,3523.5145724355943
min_total_distance,420035614003,1,Homewood Senior Center,3111.5084702182776
min_total_distance,420031916004,11,Brookline Community Center,2564.381408829811
min_total_distance,420034643003,2,Sheraden Senior Center,1792.242662507851
min_total_distance,420039807001,4,Mount Washington Senior Center,3370.6045469725373
min_total_distance,420035627001,67,Fowler Pool Buiding,2308.4223592232906
min_total_distance,420032615002,67,Fowler Pool Buiding,730.5313208457214
min_total_distance,420030709003,79,LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED,1090.5655374650646
min_total_distance,420039806001,67,Fowler Pool Buiding,2991.1984469178847
min_total_distance,420031903002,4,Mount Washington Senior Center,818.8413925546172
min_total_distance,420031517003,0,Greenfield Senior Center,611.0682985012094
min_total_distance,420031517004,0,Greenfield Senior Center,775.6110871859491
min_total_distance,420031609002,3,South Side Senior Center,716.7568304483855
min_total_distance,420031702001,4,Mount Washington Senior Center,2570.3191343928006
min_total_distance,420031702003,3,South Side Senior Center,1880.6471546786747
min_total_distance,420031706001,3,South Side Senior Center,1797.2735163593945
min_total_distance,420031706002,3,South Side Senior Center,2733.636827226308
min_total_distance,420031807003,4,Mount Washington Senior Center,1275.4771583881707
min_total_distance,420031903001,4,Mount Washington Senior Center,945.0659833900139
min_total_distance,420031916002,11,Brookline Community Center,2525.5688880826124
min_total_distance,420031916005,11,Brookline Community Center,2203.7926110722055
min_total_distance,420031917001,11,Brookline Community Center,1744.1734506941746
min_total_distance,420031917002,11,Brookline Community Center,835.5605296621668
min_total_distance,420031918002,11,Brookline Community Center,857.4040015201273
min_total_distance,420031918004,11,Brookline Community Center,409.4160330203388
min_total_distance,420031918005,11,Brookline Community Center,1719.9546754019946
min_total_distance,420031918006,11,Brookline Community Center,1889.67055678847
min_total_distance,420031918007,11,Brookline Community Center,1280.1381295672268
min_total_distance,420031919001,11,Brookline Community Center,298.17792741345545
min_total_distance,420031919002,11,Brookline Community Center,459.21177565070326
min_total_distance,420031919003,11,Brookline Community Center,457.6787233609132
min_total_distance,420031918001,11,Brookline Community Center,584.223985276921
min_total_distance,420030806002,79,LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED,1067.8723536010798
min_total_distance,420031403002,0,Greenfield Senior Center,2698.05987824783
min_total_distance,420031609001,3,South Side Senior Center,918.3788191275033
min_total_distance,420031803001,4,Mount Washington Senior Center,1751.5436500686542
min_total_distance,420031803002,4,Mount Washington Senior Center,2161.2683932157915
min_total_distance,420031803003,4,Mount Washington Senior Center,2291.0334185802885
min_total_distance,420031807002,4,Mount Washington Senior Center,1071.8141657415056
min_total_distance,420031911002,4,Mount Washington Senior Center,2194.0816148052572
min_total_distance,420031914001,4,Mount Washington Senior Center,155.98516476170545
min_total_distance,420032614002,67,Fowler Pool Buiding,868.9717177535205
min_total_distance,420032701001,67,Fowler Pool Buiding,3755.6838812228616
min_total_distance,420032701002,67,Fowler Pool Buiding,4146.648167689816
min_total_distance,420032703001,67,Fowler Pool Buiding,2810.180188404557
min_total_distance,420032708001,67,Fowler Pool Buiding,3883.447521477663
min_total_distance,420034804001,71,CARRICK LIBRARY,4540.217010010145
min_total_distance,420032708002,67,Fowler Pool Buiding,2861.1284766061503
min_total_distance,420032902005,71,CARRICK LIBRARY,1077.5504296081858
min_total_distance,420033102001,0,Greenfield Senior Center,7230.683104412772
min_total_distance,420033102002,0,Greenfield Senior Center,8465.914881481025
min_total_distance,420033204001,71,CARRICK LIBRARY,2659.942060210986
min_total_distance,420033204002,71,CARRICK LIBRARY,1482.2251006410227
min_total_distance,420033206001,71,CARRICK LIBRARY,1876.2546479786492
min_total_distance,420030203001,79,LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED,4214.719073744923
min_total_distance,420030305001,3,South Side Senior Center,3753.5532271977136
min_total_distance,420030305002,3,South Side Senior Center,3191.926210927599
min_total_distance,420030506001,79,LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED,2211.7688876939314
min_total_distance,420030506002,79,LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED,1865.261824097926
min_total_distance,420030509001,79,LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED,3028.7786349689927
min_total_distance,420030510001,79,LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED,2782.1846156345773
min_total_distance,420034315004,67,Fowler Pool Buiding,5748.600872407369
min_total_distance,420035604001,1,Homewood Senior Center,1805.8091736810645
min_total_distance,420030802001,79,LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED,1347.0535167062603
min_total_distance,420030804001,79,LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED,886.3935910367901
min_total_distance,420030804002,79,LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED,246.66777828126158
