objective,n_new,mean_distance,max_distance,median_distance,p90_distance,pct_covered_15min,open_site_ids,open_site_names
min_total_distance,0,3924.4815348840916,10302.57895887431,3813.3371830093806,6556.0779244656105,9.996973079939982,"[0, 1, 2, 3, 4]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center']"
min_total_distance,1,3339.500137280299,9633.996840409554,2971.8855000204435,6353.739530400429,14.607004878874378,"[0, 1, 2, 3, 4, 12]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'East Liberty Community Center']"
min_total_distance,2,2790.522845652103,8465.914881481025,2624.5687845146963,4909.145104677164,15.923552367344415,"[0, 1, 2, 3, 4, 12, 66]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'East Liberty Community Center', 'Fowler Pool Buiding']"
min_total_distance,3,2417.4273817726657,8465.914881481025,2320.851750323088,3935.166407604917,18.704738594532667,"[0, 1, 2, 3, 4, 12, 66, 69]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'East Liberty Community Center', 'Fowler Pool Buiding', 'BROOKLINE LIBRARY']"
min_total_distance,4,2229.239278629438,8465.914881481025,2106.007781638569,3764.75719190788,20.810238150258918,"[0, 1, 2, 3, 4, 12, 39, 66, 69]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'East Liberty Community Center', 'Martin Luther King Cultural Center', 'Fowler Pool Buiding', 'BROOKLINE LIBRARY']"
min_total_distance,5,2056.3294452631085,8465.914881481025,1938.0789425015237,3380.8303349950047,22.41776053482097,"[0, 1, 2, 3, 4, 11, 12, 39, 66, 70]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Brookline Community Center', 'East Liberty Community Center', 'Martin Luther King Cultural Center', 'Fowler Pool Buiding', 'CARRICK LIBRARY']"
min_total_distance,6,1937.4159598117228,8465.914881481025,1853.633218957249,3180.5670452791146,27.426499545961992,"[0, 1, 2, 3, 4, 11, 12, 67, 70, 78, 85]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Brookline Community Center', 'East Liberty Community Center', 'ALLEGHENY LIBRARY', 'CARRICK LIBRARY', 'LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED', 'WOODS RUN LIBRARY']"
min_total_distance,7,1846.7706232506428,8465.914881481025,1770.920478185902,3033.3150444701514,28.520096470871593,"[0, 1, 2, 3, 4, 6, 11, 12, 39, 67, 70, 85]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Lawrenceville Senior Center', 'Brookline Community Center', 'East Liberty Community Center', 'Martin Luther King Cultural Center', 'ALLEGHENY LIBRARY', 'CARRICK LIBRARY', 'WOODS RUN LIBRARY']"
min_total_distance,8,1764.9166728456366,8465.914881481025,1607.9344858285212,2941.4036383143807,33.33582864377708,"[0, 1, 2, 3, 4, 6, 8, 11, 12, 67, 70, 79, 85]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Lawrenceville Senior Center', 'Hill House Senior Center', 'Brookline Community Center', 'East Liberty Community Center', 'ALLEGHENY LIBRARY', 'CARRICK LIBRARY', 'MAIN (OAKLAND) LIBRARY', 'WOODS RUN LIBRARY']"
min_total_distance,9,1694.9007537539671,5020.444336977867,1601.1648731182331,2888.2107360710515,34.1446347028248,"[0, 1, 2, 3, 4, 6, 8, 11, 12, 40, 67, 70, 79, 85]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Lawrenceville Senior Center', 'Hill House Senior Center', 'Brookline Community Center', 'East Liberty Community Center', 'McBride Swimming Pool Building', 'ALLEGHENY LIBRARY', 'CARRICK LIBRARY', 'MAIN (OAKLAND) LIBRARY', 'WOODS RUN LIBRARY']"
